Semana,Id,Tipo,Consigna,Enunciado,Respuesta,También se acepta,Opciones,OK (sí/no),Corrección,Comentario
1,d07-034,conjugate,"Completá con essere o avere, conjugado en presente.",Lui ___ molto ricco.,è,,,,,
1,d07-035,conjugate,"Completá con essere o avere, conjugado en presente.",Voi ___ fretta?,avete,,,,,
1,rf-1-02,choice,Elegí la palabra que significa «leche».,"Un bicchiere di ___, per favore.",latte,,latte | late | lattè,,,
1,rf-1-03,choice,Elegí el número 7.,La settimana ha ___ giorni.,sette,,sette | sete | setté,,,
1,rf-1-06,choice,¿En cuál la c suena como la «ch» de «chico»?,___,cena,,cena | casa | chiave | cuore,,,
1,rf-1-07,choice,"¿En cuál la g suena suave [dʒ], como en «gelato»?",___,giorno,,giorno | gatto | ghiro | gusto,,,
1,rf-1-08,choice,¿Cómo se escribe «montaña»?,___,montagna,,montagna | montania | montaña,,,
1,rf-1-09,choice,¿Cómo se escribe la palabra que significa «esquí»?,Quest'inverno vado a fare ___ a Cortina.,sci,,sci | schi | ski,,,
1,rf-1-10,cloze,Completá con las letras que faltan (sonido [ʃ]; significa «pescado»).,Il pe___e è fresco oggi.,sc,,,,,
1,rf-1-11,choice,Elegí la grafía correcta de «ciencia».,___,scienza,,scienza | sienza | scenza,,,
1,rf-1-12,choice,¿Cómo se escribe correctamente?,Prendiamo un ___ al bar?,caffè,,caffè | caffé | caffe,,,
1,rf-1-13,choice,¿Cómo se escribe correctamente?,___ non vieni con noi?,Perché,,Perché | Perchè | Perche,,,
1,rf-1-14,cloze,Completá con «è» (verbo) o «e» (conjunción).,Mia madre ___ argentina e mio padre è italiano.,è,,,,,
1,rf-1-15,cloze,Completá con «è» (verbo) o «e» (conjunción).,"Pane ___ burro, per favore.",e,,,,,
1,rf-1-18,choice,¿Cómo suena la «ch» de «Michelangelo»?,Michelangelo,"[k], como la «qu» de «queso»",,"[k], como la «qu» de «queso» | [tʃ], como la «ch» de «chico» | [ʃ], como la «sh» rioplatense",,,
1,rf-1-19,choice,Elegí la forma correcta (ellos tienen).,Loro ___ fame.,hanno,,hanno | anno | hano,,,
1,rf-1-20,cloze,Completá con «o» (conjunción) o «ho» (verbo).,Vuoi il tè ___ il caffè?,o,,,,,
1,rf-1-21,cloze,Completá con «o» (conjunción) o «ho» (verbo).,Stasera ___ una cena con i colleghi.,ho,,,,,
1,rf-1-24,translate,Traducí al italiano.,La ciudad es linda.,La città è bella,,,,,
1,rf-1-25,choice,¿Cómo se escribe «hielo»?,"Un'aranciata con ___, per favore.",ghiaccio,,ghiaccio | giaccio | ghiacio,,,
2,a2-ort-02,choice,¿Cómo se escribe el plural de «amico»?,amico → ___,amici,,amici | amichi | amicos,,,
2,d03-001,choice,¿El sustantivo es masculino o femenino? Elegí.,bambina (nena): ___,femminile,F,maschile | femminile,,,
2,d03-002,choice,¿El sustantivo es masculino o femenino? Elegí.,macchina (auto): ___,femminile,F,maschile | femminile,,,
2,d03-003,choice,¿El sustantivo es masculino o femenino? Elegí.,libro (libro): ___,maschile,M,maschile | femminile,,,
2,d03-004,choice,¿El sustantivo es masculino o femenino? Elegí.,signore (señor): ___,maschile,M,maschile | femminile,,,
2,d03-005,choice,¿El sustantivo es masculino o femenino? Elegí.,padre (padre): ___,maschile,M,maschile | femminile,,,
2,d03-006,choice,¿El sustantivo es masculino o femenino? Elegí.,zio (tío): ___,maschile,M,maschile | femminile,,,
2,d03-007,choice,¿El sustantivo es masculino o femenino? Elegí.,medico (médico): ___,maschile,M,maschile | femminile,,,
2,d03-008,choice,¿El sustantivo es masculino o femenino? Elegí.,lezione (clase): ___,femminile,F,maschile | femminile,,,
2,d03-009,choice,¿El sustantivo es masculino o femenino? Elegí.,zucchero (azúcar): ___,maschile,M,maschile | femminile,,,
2,d03-010,choice,¿El sustantivo es masculino o femenino? Elegí.,casa (casa): ___,femminile,F,maschile | femminile,,,
2,d03-011,plural,Escribí el plural del sustantivo.,fratello → ___,fratelli,,,,,
2,d03-012,plural,Escribí el plural del sustantivo.,idea → ___,idee,,,,,
2,d03-013,plural,Escribí el plural del sustantivo.,amico → ___,amici,,,,,
2,d03-014,plural,Escribí el plural del sustantivo.,cugino → ___,cugini,,,,,
2,d03-015,plural,Escribí el plural del sustantivo.,zia → ___,zie,,,,,
2,d03-016,plural,Escribí el plural del sustantivo.,cane → ___,cani,,,,,
2,d03-017,plural,Escribí el plural del sustantivo.,valigia → ___,valigie,valige,,,,
2,d03-018,plural,Escribí el plural del sustantivo.,medico → ___,medici,,,,,
2,d03-019,plural,Escribí el plural del sustantivo.,bacio → ___,baci,,,,,
2,d03-020,plural,Escribí el plural del sustantivo.,vecchio → ___,vecchi,,,,,
2,d03-021,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,stress → ___,stress,,,,,
2,d03-022,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,ottimista → ___,ottimisti,"ottimiste | ottimisti, ottimiste | ottimisti e ottimiste | ottimisti / ottimiste",,,,
2,d03-023,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,tema → ___,temi,,,,,
2,d03-024,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,città → ___,città,,,,,
2,d03-025,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,tennis → ___,tennis,,,,,
2,d03-026,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,crisi → ___,crisi,,,,,
2,d03-028,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,paio → ___,paia,,,,,
2,d03-029,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,mano → ___,mani,,,,,
2,d03-030,plural,Escribí el plural. Ojo: algunos sustantivos no cambian y otros tienen plural masculino y femenino.,gioventù → ___,gioventù,,,,,
2,rf-1-04,cloze,Escribí el plural conservando el sonido duro [k].,A Buenos Aires ci sono tanti ___ (parco).,parchi,,,,,
2,rf-1-05,cloze,Escribí el plural conservando el sonido duro [g].,In Lombardia ci sono molti ___ (lago).,laghi,,,,,
2,s:r01-01:b,choice,Elegí la forma verbal correcta para completar cada oración.,___ troppa gente qui. (Hay demasiada gente acá.),C'è,,C'è | Ci sono,,,
2,s:r01-07:a,choice,Elegí la palabra con el género correcto para completar cada oración.,È ___ dell'anno scolastico.,la fine,,il fine | la fine,,,
2,s:r01-07:b,choice,Elegí la palabra con el género correcto para completar cada oración.,Gli manca ___ per comprare la ditta.,il capitale,,il capitale | la capitale,,,
2,s:r01-07:c,choice,Elegí la palabra con el género correcto para completar cada oración.,___ dell'Australia non è Sydney.,La capitale,,Il capitale | La capitale,,,
2,s:r01-07:e,choice,Elegí la palabra con el género correcto para completar cada oración.,"Sono senza soldi, devo andare in ___.",banca,,banco | banca,,,
2,s:r01-07:f,choice,Elegí la palabra con el género correcto para completar cada oración.,Devo far riparare ___ della borsa.,il manico,,il manico | la manica,,,
3,b2-prep-05,choice,Elegí el artículo correcto.,___ zio di Marco.,Lo,,Lo | Il | L',,,
3,b2-prep-06,choice,Elegí el artículo correcto.,___ studenti sono in classe.,Gli,,Gli | I | Li,,,
3,b2-prep-07,choice,Elegí la forma correcta.,Mi piace ___ musica classica.,la,,la | — | una,,,
3,d03-031,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ amica (amiga),l’,l',,,,
3,d03-032,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ casa (casa),la,,,,,
3,d03-033,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ errori (errores),gli,,,,,
3,d03-034,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ padri (padres),i,,,,,
3,d03-035,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ arance (naranjas),le,,,,,
3,d03-036,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ entrate (entradas),le,,,,,
3,d03-037,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ gnocchi (ñoquis),gli,,,,,
3,d03-039,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ oche (gansas),le,,,,,
3,d03-040,cloze,"Escribí el artículo determinado (il, lo, l', la, i, gli, le) que va delante de la palabra.",___ zii (tíos),gli,,,,,
3,d03-041,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ zaino (mochila),uno,,,,,
3,d03-042,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ aeroplano (avión),un,,,,,
3,d03-043,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ errore (error),un,,,,,
3,d03-044,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ madre (madre),una,,,,,
3,d03-045,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ arancia (naranja),un’,un',,,,
3,d03-046,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ finestra (ventana),una,,,,,
3,d03-047,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ studentessa (estudiante mujer),una,,,,,
3,d03-048,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ entrata (entrada),un’,un',,,,
3,d03-049,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ scuola (escuela),una,,,,,
3,d03-050,cloze,"Escribí el artículo indeterminado (un, uno, una, un') que va delante de la palabra.",___ succo (jugo),un,,,,,
3,d03-051,translate,Traducí al italiano con el artículo determinado.,la gente,la gente,,,,,
3,d03-052,translate,Traducí al italiano con el artículo determinado.,las verduras,le verdure,la verdura,,,,
3,d03-053,translate,Traducí al italiano con el artículo determinado.,las películas,i film,,,,,
3,d03-054,translate,Traducí al italiano con el artículo determinado.,las ciudades,le città,,,,,
3,d03-055,translate,Traducí al italiano con el artículo determinado.,el casamiento,il matrimonio,le nozze,,,,
3,rf-1-16,choice,¿Cómo se escribe «un poco»?,Vuoi ___ di latte nel caffè?,un po',,un po' | un pò | un po,,,
3,rf-1-17,choice,Elegí la forma correcta.,Stasera esco con ___ di Laura.,un amico,,un amico | un'amico,,,
3,rf-1-22,translate,Traducí al italiano.,Mi abuelo tiene noventa años.,Mio nonno ha novant'anni,Mio nonno ha novanta anni,,,,
3,rf-1-23,translate,Traducí al italiano.,¿Dónde está el cine?,Dov'è il cinema?,Dove è il cinema?,,,,
3,s:r02-01:a,cloze,Describí a este hombre y su estado: completá con el artículo determinado donde haga falta.,"Ha ___ capelli biondi, ___ occhi azzurri, ___ pelle chiara e ___ orecchie a sventola.",i | gli | la | le,,,,,
3,s:r02-01c:a,cloze,"Expresá cada oración de otra manera, sin el partitivo, usando la pista entre paréntesis.",Mi dà dello zucchero? → Mi dà ___ zucchero? (un poco de),un po' di,,,,,
3,s:r02-01c:b,cloze,"Expresá cada oración de otra manera, sin el partitivo, usando la pista entre paréntesis.",Mi porti dell'acqua frizzante? → Mi porti ___ acqua frizzante? (un poco de),un po' d',un po' di,,,,
3,s:r02-01c:c,cloze,"Expresá cada oración de otra manera, sin el partitivo, usando la pista entre paréntesis.",Mi dà dei fagiolini? → Mi dà ___ fagiolino? (algún),qualche,,,,,
3,s:r02-01c:d,cloze,"Expresá cada oración de otra manera, sin el partitivo, usando la pista entre paréntesis.",Non abbiamo burro. → Non abbiamo ___ burro. (ni siquiera un poco de),neanche un po' di,nemmeno un po' di | neppure un po' di,,,,
3,s:r02-01c:e,cloze,"Expresá cada oración de otra manera, sin el partitivo, usando la pista entre paréntesis.",Non ho soldi. → Non ho ___ soldo. (ningún),nessun,neanche un | nemmeno un | un,,,,
3,s:r02-01c:f,cloze,"Expresá cada oración de otra manera, sin el partitivo, usando la pista entre paréntesis.",Non ci sono lenzuola. → Non c'è ___ lenzuolo. (ningún),nessun,neanche un | nemmeno un,,,,
3,s:r02-02:a,cloze,Reemplazá la palabra indicada entre paréntesis por el artículo determinado adecuado.,Arriva domani con ___ moglie. (en lugar de «sua»),la,,,,,
3,s:r02-02:b,cloze,Reemplazá la palabra indicada entre paréntesis por el artículo determinado adecuado.,Non ho ___ smartphone e nemmeno ___ laptop. (en lugar de «uno» y «un»),lo | il,,,,,
3,s:r02-02:c,cloze,Reemplazá la palabra indicada entre paréntesis por el artículo determinado adecuado.,I miei figli vanno alla partita con ___ zio. (en lugar de «il loro»),lo,,,,,
3,s:r02-02b:a,cloze,Completá con el partitivo correcto; en un caso no va ninguno.,Mi dà ___ caffè macinato?,del,,,,,
3,s:r02-02b:b,cloze,Completá con el partitivo correcto; en un caso no va ninguno.,Avete ___ pasta fresca?,della,,,,,
3,s:r02-02b:c,cloze,Completá con el partitivo correcto; en un caso no va ninguno.,Devo comprare ___ camicie nuove.,delle,,,,,
3,s:r02-02b:f,cloze,Completá con el partitivo correcto; en un caso no va ninguno.,Mi serve ___ sciroppo per la tosse.,dello,,,,,
3,s:r02-02b:g,cloze,Completá con el partitivo correcto; en un caso no va ninguno.,Ho bisogno ___ aspirina.,di un',d' | di | dell',,,,
3,s:r02-02b:h,choice,Completá con el partitivo correcto; en un caso no va ninguno.,Non ho ___ fratelli.,(sin partitivo),,dei | (sin partitivo),,,
3,s:r02-02b:i,cloze,Completá con el partitivo correcto; en un caso no va ninguno.,"Devo comprare ___ olio, ___ aceto, ___ sale e ___ pepe.",dell' | dell' | del | del,,,,,
3,s:r02-02c:a,cloze,"Reformulá cada oración con un significado parecido, usando «alcuni/alcune» o «qualche» según la forma del sustantivo.",Ho delle lettere da scrivere. → Ho ___ lettere da scrivere.,alcune,,,,,
3,s:r02-02c:c,cloze,"Reformulá cada oración con un significado parecido, usando «alcuni/alcune» o «qualche» según la forma del sustantivo.",Avete degli impegni per domani? → Avete ___ impegno per domani?,qualche,,,,,
3,s:r02-02c:d,cloze,"Reformulá cada oración con un significado parecido, usando «alcuni/alcune» o «qualche» según la forma del sustantivo.",Hai degli articoli da leggere? → Hai ___ articoli da leggere?,alcuni,,,,,
3,s:r02-03:a,cloze,Completá con la preposición articulada correcta (preposición + artículo). En una oración no hace falta el artículo.,La baby sitter ___ miei figli è greca. (di),dei,,,,,
3,s:r02-03:b,cloze,Completá con la preposición articulada correcta (preposición + artículo). En una oración no hace falta el artículo.,Il finestrino ___ macchina è chiuso? (di),della,,,,,
3,s:r02-03:c,cloze,Completá con la preposición articulada correcta (preposición + artículo). En una oración no hace falta el artículo.,La ragazza ___ mio figlio è molto gentile. (di),di,,,,,
3,s:r02-03:d,cloze,Completá con la preposición articulada correcta (preposición + artículo). En una oración no hace falta el artículo.,Il gatto dorme ___ studio. (in),nello,,,,,
3,s:r02-03:e,cloze,Completá con la preposición articulada correcta (preposición + artículo). En una oración no hace falta el artículo.,Mi piace lavorare ___ mio studio. (in),nel,,,,,
3,s:r02-06:a,cloze,Usá la preposición articulada donde corresponda.,"Passo sempre le ferie ___ Francia, ___ Francia del sud. (in)",in | nella,,,,,
3,s:r02-06:b,cloze,Usá la preposición articulada donde corresponda.,Io lavoro ___ Gran Bretagna. (in),in,,,,,
3,s:r02-07:a,cloze,Combiná «in» y «di» con el artículo determinado donde sea necesario.,Torino è ___ Piemonte. È il capoluogo ___ Piemonte.,in | del,nel | del,,,,
3,s:r02-07:b,cloze,Combiná «in» y «di» con el artículo determinado donde sea necesario.,L'Aquila è ___ Abruzzi. È il capoluogo ___ Abruzzi.,negli | degli,,,,,
3,s:r02-07:c,cloze,Combiná «in» y «di» con el artículo determinado donde sea necesario.,Cagliari è ___ Sardegna. È il capoluogo ___ Sardegna.,in | della,,,,,
3,s:r02-08:a,cloze,Combiná «di» con el artículo determinado donde sea necesario.,La capitale ___ Scozia è Edimburgo.,della,,,,,
3,s:r02-08:b,cloze,Combiná «di» con el artículo determinado donde sea necesario.,La capitale ___ Italia è Roma.,dell',,,,,
3,s:r02-08:c,cloze,Combiná «di» con el artículo determinado donde sea necesario.,La capitale ___ Malta è La Valletta.,di,,,,,
3,s:r02-08:d,cloze,Combiná «di» con el artículo determinado donde sea necesario.,La capitale ___ Canada è Ottawa.,del,,,,,
3,s:r02-08:e,cloze,Combiná «di» con el artículo determinado donde sea necesario.,La capitale ___ Cuba è l'Avana.,di,,,,,
3,s:r02-08:f,cloze,Combiná «di» con el artículo determinado donde sea necesario.,La capitale ___ Filippine è Manila.,delle,,,,,
3,s:r02-09:a,cloze,"Completá usando cada palabra una sola vez: il, le, la, in, da, dall', dell', dell', della, della. (Cipro y Bratislava no llevan artículo.)",Cipro è situata a sud ___ Turchia. (Chipre está situada al sur de Turquía.),della,,,,,
3,s:r02-09:b,cloze,"Completá usando cada palabra una sola vez: il, le, la, in, da, dall', dell', dell', della, della. (Cipro y Bratislava no llevan artículo.)",Ci sono molti libri e guide ___ isola d'Elba. (Hay muchos libros y guías de la isla de Elba.),dell',,,,,
3,s:r02-09:c,cloze,"Completá usando cada palabra una sola vez: il, le, la, in, da, dall', dell', dell', della, della. (Cipro y Bratislava no llevan artículo.)",___ Sicilia non è lontana ___ Africa. (Sicilia no está lejos de África.),La | dall',,,,,
3,s:r02-09:d,cloze,"Completá usando cada palabra una sola vez: il, le, la, in, da, dall', dell', dell', della, della. (Cipro y Bratislava no llevan artículo.)","Bratislava è ___ Slovacchia, ma non è lontana ___ Vienna. (Bratislava está en Eslovaquia, pero no lejos de Viena.)",in | da,,,,,
3,s:r02-09:e,cloze,"Completá usando cada palabra una sola vez: il, le, la, in, da, dall', dell', dell', della, della. (Cipro y Bratislava no llevan artículo.)",___ Eolie sono al largo ___ Sicilia. (Las islas Eolias están frente a la costa de Sicilia.),Le | della,,,,,
3,s:r02-09:f,cloze,"Completá usando cada palabra una sola vez: il, le, la, in, da, dall', dell', dell', della, della. (Cipro y Bratislava no llevan artículo.)",___ Canada occupa la parte nord ___ America settentrionale. (Canadá ocupa la parte norte de América del Norte.),Il | dell',,,,,
3,s:r02-11:b,cloze,Completá con la forma correcta: «di» o «di» + artículo (d' delante de vocal).,Carlo Alberto ___ Savoia abdicò nel 1849. (di/della),di,,,,,
4,d05-001,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,i ragazzi ___ (pigro),pigri,,,,,
4,d05-002,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,le bimbe ___ (buono),buone,,,,,
4,d05-003,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,Giuliano è ___ (alto),alto,,,,,
4,d05-004,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,le scuole ___ (grande),grandi,,,,,
4,d05-005,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,gli insegnanti ___ (bravo),bravi,,,,,
4,d05-006,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,i gatti ___ (piccolo),piccoli,,,,,
4,d05-007,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,le camere da letto ___ (nuovo),nuove,,,,,
4,d05-008,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,le amiche ___ (simpatico),simpatiche,,,,,
4,d05-009,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,la madre ___ (difficile),difficile,,,,,
4,d05-010,cloze,Concordá el adjetivo entre paréntesis con el sustantivo (género y número).,la foto ___ (brutto),brutta,,,,,
4,d05-011,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(buono) ___ giorno,buon,,,,,
4,d05-012,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(bello) ___ abiti,begli,,,,,
4,d05-013,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(santo) ___ Apostoli,Santi,,,,,
4,d05-014,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(buono) ___ studentessa,buona,,,,,
4,d05-015,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(bello) ___ montagne,belle,,,,,
4,d05-016,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(bello) ___ giornata,bella,,,,,
4,d05-017,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(buono) ___ anno,buon,,,,,
4,d05-018,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(santo) ___ Elisabetta,Sant’,Sant' | Santa,,,,
4,d05-019,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(bello) ___ ragazzi,bei,,,,,
4,d05-020,cloze,"Escribí la forma correcta de buono, santo o bello (entre paréntesis) delante del sustantivo.",(buono) ___ notte,buona,,,,,
4,d05-021,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(piccola) scuola → ___,piccola scuola,scuola piccola,,,,
4,d05-022,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(interessante) libro → ___,libro interessante,,,,,
4,d05-023,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(grande) casa → ___,grande casa,casa grande,,,,
4,d05-024,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(francesi) studenti → ___,studenti francesi,,,,,
4,d05-025,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(care) gatte → ___,care gatte,gatte care,,,,
4,d05-026,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(intelligente) donna → ___,donna intelligente,,,,,
4,d05-027,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(simpatico) zio → ___,zio simpatico,,,,,
4,d05-028,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(alto) edificio → ___,edificio alto,alto edificio,,,,
4,d05-029,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(blu) macchina → ___,macchina blu,,,,,
4,d05-030,cloze,"Escribí el sustantivo con el adjetivo entre paréntesis, antes o después según corresponda.",(preferito) film → ___,film preferito,,,,,
4,rf-4-01,choice,Elegí la forma correcta.,Firenze è una città ___.,bella,,bella | bello | belle,,,
4,rf-4-02,choice,Elegí la forma correcta.,Che ___ tramonto sul Río de la Plata!,bel,,bel | bello | bell',,,
4,rf-4-03,choice,Elegí la forma correcta.,Agli Uffizi ci sono dei ___ quadri.,bei,,bei | begli | belli,,,
4,rf-4-04,choice,Elegí la forma correcta.,Tua figlia ha dei ___ occhi verdi.,begli,,begli | bei | belli,,,
4,rf-4-05,choice,Elegí la forma correcta.,Marco è un ___ amico.,buon,,buon | buono | buon',,,
4,rf-4-06,choice,Elegí la forma correcta.,Ha un lavoro con un ___ stipendio.,buono,,buono | buon | buoni,,,
4,rf-4-07,choice,Elegí la forma correcta.,La basilica di ___ Pietro è a Roma.,San,,San | Santo | Sant',,,
4,rf-4-08,choice,Elegí la forma correcta.,A Padova la festa di ___ Antonio è il 13 giugno.,Sant',,Sant' | San | Santo,,,
4,rf-4-09,choice,Elegí la forma correcta.,Il 26 dicembre in Italia si festeggia ___ Stefano.,Santo,,Santo | San | Sant',,,
4,rf-4-10,cloze,Completá con el adjetivo concordado.,Le tue cugine sono molto ___ (simpatico).,simpatiche,,,,,
