Semana,Bloque,Título,Regla,Atención,Ejemplos,Tabla,OK (sí/no),Corrección,Comentario
2,4,Irregulares de todos los días,"Pocos, pero frecuentes. Varias partes del cuerpo hacen el plural en **-a** y pasan a femenino: *il braccio → le braccia*.",,,l'uomo / gli uomini / el hombre · l'uovo (m.) / le uova (f.) / cambia de género · il braccio / le braccia / partes del cuerpo: plural en -a · il dito / le dita / íd. · il ginocchio / le ginocchia / íd. · la mano / le mani / femenino aunque termine en -o · il paio / le paia / el par · il dio / gli dei / el dios,,,
2,5,Géneros que no coinciden,"No confíes en el castellano: *il latte, il sale, il fiore, il miele* son masculinos; *la fine, l'origine, la domenica, l'arte* son femeninos.","*il sangue* (la sangre), *il costume* (la costumbre), *il carcere* (la cárcel), *l'analisi* (f., el análisis). Son las que más puntos hacen perder.",,,,,
2,6,Los de -ista,En singular sirven para los dos géneros (*il / la giornalista*); en plural se separan: *i giornalisti* / *le giornaliste*.,,il turista / la turista = el turista / la turista · i turisti / le turiste = los turistas / las turistas,,,,
3,1,Determinados: el sonido decide,"*il / i* ante consonante; *l' / gli* ante vocal; *lo / gli* ante **s + consonante, z, gn, ps, pn, x, y**. Femenino: *la / le*, *l'* ante vocal.",,,"masc. ante consonante común / il / i / il libro → i libri · masc. ante vocal / l' / gli / l'amico → gli amici · masc. ante s+consonante, z, gn, ps, pn, x, y / lo / gli / lo studente → gli studenti; lo zio → gli zii · fem. ante consonante / la / le / la casa → le case · fem. ante vocal / l' / le / l'amica → le amiche",,,
3,2,"Indeterminados: un, uno, una, un'",*un* ante consonante y vocal; *uno* donde iría *lo*; *una* femenino; *un'* femenino ante vocal.,"*un amico* sin apóstrofo, *un'amica* con apóstrofo. El apóstrofo marca el femenino: pregunta clásica de examen.","un libro, un amico = masculino: sin apóstrofo · uno studente, uno zaino = como lo · una casa = femenino · un'amica = femenino ante vocal: con apóstrofo",,,,
3,3,Preposiciones articuladas,"*di, a, da, in, su* + artículo determinado se **fusionan siempre**, con todos los artículos: *di + il = del*, *in + la = nella*.",,,di / del / dello / dell' / dei / degli / della / delle · a / al / allo / all' / ai / agli / alla / alle · da / dal / dallo / dall' / dai / dagli / dalla / dalle · in / nel / nello / nell' / nei / negli / nella / nelle · su / sul / sullo / sull' / sui / sugli / sulla / sulle,,,
3,4,"El partitivo: «algo de», «unos»","*di* + artículo expresa una cantidad indeterminada, donde el castellano no pone nada o pone «unos».",,Compro del pane. = Compro pan. · C'è dell'acqua in frigo. = Hay agua en la heladera. · Ho degli amici a Roma. = Tengo (unos) amigos en Roma.,,,,
3,5,Artículo donde el castellano no lo pone (y dónde no va),"Llevan artículo: **posesivos** (*il mio libro*), años (*nel 1999*), **países y regiones** (*l'Italia, la Toscana*), lenguas (*studio l'italiano*).","**Sin artículo**: ciudades (*Roma è bella, vado a Roma*) y parientes en singular sin adjetivo (*mio padre*; pero *i miei fratelli*). Con *in* el país lo pierde: *abito in Italia*.",La mia casa è grande. = Mi casa es grande. · L'Italia è bella. = Italia es linda. · Roma è bella. = Roma es linda. · il lunedì = los lunes (costumbre),,,,
4,1,Dos clases y nada más,"Los adjetivos en *-o* tienen **4 formas**; los en *-e*, **2**. Con géneros mezclados gana el masculino plural.",,Marco e Anna sono italiani. = Marco y Ana son italianos.,"en -o (4 formas) / -o / -a / -i / -e / alto, alta, alti, alte · en -e (2 formas) / -e / -e / -i / -i / grande, grande, grandi, grandi",,,
4,2,Delante o detrás: cambia el sentido,"Por defecto el adjetivo va **detrás**. Los frecuentes (*bello, buono, grande, vecchio, nuovo, povero*) suelen ir delante, y a veces cambian de sentido.",,un uomo grande / un grand'uomo = un hombre corpulento / un gran hombre · un amico vecchio / un vecchio amico = un amigo viejo / un viejo amigo · una casa nuova / una nuova casa = una casa nueva / otra casa · un uomo povero / un povero uomo = un hombre pobre / un pobre hombre,,,,
4,3,bello y quello copian al artículo,"Delante del sustantivo, *bello* y *quello* toman la forma de *il / lo / l' / i / gli*. Detrás del verbo, *bello* es normal.",,,"il / bel / quel / quel bel libro · lo / bello / quello / quello studente · l' / bell' / quell' / quell'albergo, un bell'albergo · i / bei / quei / quei bei quadri · gli / begli / quegli / quegli studenti, quei begli occhi · la / le / bella / belle / quella / quelle / quella bella casa",,,
4,4,"buono, grande, santo se acortan","*buono* delante copia a *un / uno / una / un'*. *grande* → *gran*, *grand'*. *santo* → *san*, *sant'*.",El castellano apocopa *buen* y *san* solo en masculino. El italiano también tiene *buon'amica* en femenino.,"un buon amico, un buono studente = como un / uno · una buona idea, una buon'amica = como una / un' · un gran successo, un grand'uomo = un gran éxito, un gran hombre · San Marco, Santo Stefano, Sant'Antonio = ante consonante, s impura, vocal",,,,
5,1,Las tres conjugaciones,"*tu* termina **siempre en -i** y *noi* **siempre en -iamo**, en las tres conjugaciones.","*loro* se acentúa en la raíz: *PAR-lano*, *VEN-dono*, *A-bitano*, *te-LE-fonano*. Decir «parLAno» te delata enseguida.",,io / parlo / vendo / dormo / finisco · tu / parli / vendi / dormi / finisci · lui/lei / parla / vende / dorme / finisce · noi / parliamo / vendiamo / dormiamo / finiamo · voi / parlate / vendete / dormite / finite · loro / parlano / vendono / dormono / finiscono,,,
5,2,Los verbos en -isc-,Muchos verbos en *-ire* meten **-isc-** en todas las personas menos *noi* y *voi*. No hay regla: se aprenden con la palabra.,,Non capisco. = No entiendo. · Capiamo tutto. = Entendemos todo. · Preferisco il tè. = Prefiero el té.,,,,
5,3,Grafías que cambian la raíz,La escritura sigue al **sonido**: *cercare → cerchi* (conserva la k); *mangiare → mangi* (la *i* sobra).,,,"cercare, pagare / se agrega h para mantener el sonido duro / cerchi, paghi / cerchiamo, paghiamo · cominciare, mangiare / se pierde la i de la raíz / cominci, mangi / cominciamo, mangiamo · studiare (i átona) / se funden las dos i / studi / studiamo · sciare (i tónica) / se conservan las dos / scii / sciamo",,,
5,4,El sujeto se omite; Lei para usted,"La terminación ya dice quién habla: *io, tu, lui* solo para enfatizar. El trato formal es **Lei** + tercera persona singular.",,"Io lavoro, tu no. = Yo trabajo, vos no. · Lei parla italiano? = ¿Usted habla italiano?",,,,
6,1,Los cuatro pilares,"*essere, avere, andare, stare*: de memoria. La *h* de *ho, hai, ha, hanno* **no suena**; solo distingue en la escritura.",,,io / sono / ho / vado / sto · tu / sei / hai / vai / stai · lui/lei / è / ha / va / sta · noi / siamo / abbiamo / andiamo / stiamo · voi / siete / avete / andate / state · loro / sono / hanno / vanno / stanno,,,
6,2,"Modales, sapere y fare","*potere, volere, dovere* van seguidos de **infinitivo**: *posso venire*. *sapere* = saber; *fare* = hacer.",,Devo lavorare. = Tengo que trabajar. · Vuoi un caffè? = ¿Querés un café?,io / posso / voglio / devo / so / faccio · tu / puoi / vuoi / devi / sai / fai · lui/lei / può / vuole / deve / sa / fa · noi / possiamo / vogliamo / dobbiamo / sappiamo / facciamo · voi / potete / volete / dovete / sapete / fate · loro / possono / vogliono / devono / sanno / fanno,,,
6,3,Seis irregulares más,"*venire, uscire, dire, bere, dare, rimanere*. Varios meten una **g** solo en *io* y *loro*: *rimango / rimangono*.",,,io / vengo / esco / dico / bevo / do / rimango · tu / vieni / esci / dici / bevi / dai / rimani · lui/lei / viene / esce / dice / beve / dà / rimane · noi / veniamo / usciamo / diciamo / beviamo / diamo / rimaniamo · voi / venite / uscite / dite / bevete / date / rimanete · loro / vengono / escono / dicono / bevono / danno / rimangono,,,
6,4,El italiano no diptonga,"Donde el castellano rompe la vocal (*puedo, duermo, pienso*), el italiano **la deja entera**: *posso, dormo, penso*.","Excepciones pocas: *vieni, vuole, può*. En *gioco* la *i* es solo gráfica. Si tu instinto quiere diptongar, frenalo.",Non posso venire. = No puedo venir. · Dormo poco. = Duermo poco. · Penso di sì. = Pienso que sí. · Quanto costa? = ¿Cuánto cuesta?,,,,
6,5,essere o stare,"*stare* = «estar» **de salud** y «quedarse». Estados, cualidades y ubicación van con *essere*.",,Come stai? = ¿Cómo estás? · Stasera sto a casa. = Esta noche me quedo en casa. · Sono stanco. = Estoy cansado. · Sono a Roma. = Estoy en Roma. · La porta è aperta. = La puerta está abierta.,,,,
6,6,stare + gerundio,"*stare* + gerundio = acción **en curso ahora mismo**. Gerundio: *-are → -ando*, *-ere / -ire → -endo*.","Se usa mucho menos que en castellano. Costumbres y planes van en presente: *lavoro a Milano* (estoy trabajando en Milán), *stasera esco*.",Sto leggendo un libro. = Estoy leyendo un libro. · Cosa stai facendo? = ¿Qué estás haciendo? · Stiamo cenando. = Estamos cenando.,,,,
7,1,Cardinales: una sola palabra,"Se escriben **pegados**: *ventidue, centoventitré*. *-uno* y *-otto* comen la vocal de la decena: *ventuno, ventotto*. Desde *venti*, *tre* lleva tilde.",*cento* no cambia (*trecento*); *mille* → *mila* pegado (*duemila*). *milione* y *miliardo* son sustantivos: *due milioni di persone*.,,1 uno / 11 undici / 21 ventuno / 100 cento · 2 due / 12 dodici / 22 ventidue / 200 duecento · 3 tre / 13 tredici / 23 ventitré / 1.000 mille · 4 quattro / 14 quattordici / 30 trenta / 2.000 duemila · 5 cinque / 15 quindici / 40 quaranta / 10.000 diecimila · 6 sei / 16 sedici / 50 cinquanta / 1.000.000 un milione · 7 sette / 17 diciassette / 60 sessanta /  · 8 otto / 18 diciotto / 70 settanta /  · 9 nove / 19 diciannove / 80 ottanta /  · 10 dieci / 20 venti / 90 novanta / ,,,
7,2,Ordinales,"Del 1 al 10, forma propia. Desde el 11: cardinal sin vocal final + **-esimo**: *undicesimo, ventesimo*. Concuerdan como adjetivos en *-o*.",,"primo, secondo, terzo, quarto, quinto = 1.º a 5.º · sesto, settimo, ottavo, nono, decimo = 6.º a 10.º · ventitreesimo = 23.º: la e de tre se conserva · la prima volta = la primera vez",,,,
7,3,Fechas,"*il* + número + mes, **sin «de»**. Cardinal para todos los días salvo el 1, que es *primo*.",,Oggi è il 5 maggio. = Hoy es el 5 de mayo. · Il primo gennaio. = El primero de enero. · Nel 2003. = En 2003.,,,,
7,4,La hora,"*Che ora è?* o *Che ore sono?* Se responde en **plural** con *le*: *Sono le tre*. En singular solo *l'una*, *mezzogiorno*, *mezzanotte*.","«A las…» es *alle tre*, pero *all'una*, *a mezzogiorno*, *a mezzanotte*.",Sono le tre. / È l'una. = Son las tres. / Es la una. · Sono le due e un quarto. = Son las dos y cuarto. · Sono le otto e mezza. = Son las ocho y media. · Sono le cinque meno un quarto. = Son las cinco menos cuarto. · Il treno parte alle 14:30. = El tren sale a las 14:30.,,,,
8,1,Sí o no: solo entonación,"La pregunta es la afirmación con **entonación** de pregunta. Se escribe solo el signo de cierre, al final; el de apertura no se usa.",,Parli italiano. → Parli italiano? = Hablás italiano. → ¿Hablás italiano? · Vieni con noi? = ¿Venís con nosotros? · Hai fame? = ¿Tenés hambre? · Non sei d'accordo? = ¿No estás de acuerdo?,,,,
8,2,Los interrogativos,Van al principio. *quanto* concuerda (*quanti anni*); *perché* sirve para «por qué» **y** «porque».,,Perché non vieni? — Perché sono stanco. = ¿Por qué no venís? — Porque estoy cansado.,chi / quién / Chi è? · che / che cosa / cosa / qué / Cosa fai? · quale / quali / cuál(es) / Quale preferisci? · quanto/a/i/e / cuánto / Quanti anni hai? · come / cómo / Come stai? · dove / dónde / Dove abiti? · quando / cuándo / Quando parti? · perché / por qué / porque / Perché non vieni? · come mai / cómo es que / Come mai sei qui?,,,
8,3,La preposición va adelante,"La preposición **abre** la pregunta, nunca queda al final ni se omite.",,Di chi è questa borsa? = ¿De quién es esta cartera? · Con chi esci stasera? = ¿Con quién salís esta noche? · A che ora comincia? = ¿A qué hora empieza? · Da dove vieni? = ¿De dónde venís? · Di che cosa parlate? = ¿De qué hablan?,,,,
8,4,che o quale; qual è,*che* pregunta qué tipo de cosa; *quale* pide **elegir** entre opciones conocidas.,"*Qual è* va **sin apóstrofo**: es un truncamiento, no una elisión. «Qual'è» es de las faltas más marcadas por los correctores.","Che libro leggi? = ¿Qué (tipo de) libro leés? · Quale libro preferisci, questo o quello? = ¿Cuál preferís, este o aquel? · Qual è il problema? = ¿Cuál es el problema?",,,,
8,5,El sujeto va al final,"Si la pregunta tiene sujeto explícito, va **después del verbo**, al final.",,Dove abita Marco? = ¿Dónde vive Marco? · Che cosa dice il professore? = ¿Qué dice el profesor? · Quanto costano queste scarpe? = ¿Cuánto cuestan estos zapatos?,,,,
9,1,Las ocho preposiciones simples,"*di, a, da, in, con, su, per, tra / fra*. Cada una tiene varios valores: aprendelas **con su ejemplo**, no con una traducción.",,,"di / posesión, materia, origen, cantidad / il libro di Marco; sono di Roma · a / destino a ciudad, hora, complemento indirecto / vado a Roma; alle otto; scrivo a Luca · da / origen, casa de alguien, agente, finalidad, duración / vengo da Milano; vado da Anna · in / lugar cerrado, países, medios de transporte / in Italia; in banca; in treno · con / compañía, instrumento / esco con Anna · su / sobre, acerca de / sul tavolo; un libro su Dante · per / finalidad, destino, duración / parto per Roma; per due ore · tra / fra / entre; dentro de (tiempo) / tra amici; torno tra un'ora",,,
9,2,a o in,"**a** con ciudades; **in** con países, regiones y continentes. Para los lugares comunes, memorizá el par.",,"Vivo a Bologna, in Italia. = Vivo en Bolonia, en Italia. · Vado in Francia in macchina. = Voy a Francia en auto. · Sono in ufficio fino alle sei. = Estoy en la oficina hasta las seis.",,,,
9,3,"da, la que no tiene equivalente",*da* no tiene traducción única. Estos cinco usos aparecen **todo el tiempo**.,,,procedencia / Vengo da Napoli. / Vengo de Nápoles. · casa / negocio de alguien / Vado dal medico. / Voy al médico. · finalidad del objeto / occhiali da sole / anteojos de sol · agente de la pasiva / scritto da Calvino / escrito por Calvino · duración que sigue abierta / Studio italiano da due anni. / Estudio italiano desde hace dos años.,,,
9,4,Presente + da: lo que sigue pasando,Para algo que empezó antes y **sigue**: **presente + da** + tiempo. Nunca pasado.,"El castellano dice «hace… que». El italiano no usa *fa* ni pasado acá: *studio da due anni*, no «studio fa due anni».",Abito qui da cinque anni. = Vivo acá desde hace cinco años. · Ti aspetto da un'ora! = ¡Hace una hora que te espero!,,,,
9,5,Verbos con su preposición,"Muchos verbos llevan una preposición fija, distinta del castellano. Aprendé **verbo + preposición** juntos.","*cerco un libro*, *ascolto la musica*, *aspetto Marco*: **sin** preposición. Con persona el castellano pone «a» (espero a Marco); el italiano no.","pensare a, credere a / in = pensar en, creer en · sognare di + infinitivo; sognare qualcuno (sin preposición); innamorarsi di = soñar con hacer algo; soñar con alguien; enamorarse de · entrare in, salire su = entrar en / a, subir a · dipendere da, sposarsi con = depender de, casarse con · cominciare a, finire di = empezar a, terminar de",,,,
10,1,El cuadro entero,"Los **átonos** van delante del verbo: *ti vedo*. Los **tónicos**, después de preposición o para enfatizar: *con me*, *per te*.",,"Lo dico a te, non a lui. = Te lo digo a vos, no a él.",io / mi / mi / me · tu / ti / ti / te · lui / lo / gli / lui · lei / la / le / lei · Lei (formal) / La / Le / Lei · noi / ci / ci / noi · voi / vi / vi / voi · loro / li / le / gli (loro) / loro,,,
10,2,Directo o indirecto,Directo: sin preposición (*vedo Marco → lo vedo*). Indirecto: con *a* (*telefono a Marco → gli telefono*). Solo cambia en tercera persona.,,"Vedo Marco → Lo vedo. = Veo a Marco → Lo veo. · Telefono a Marco → Gli telefono. = Llamo a Marco → Lo llamo (en it., indirecto). · Vedo Anna → La vedo. = Veo a Ana → La veo. · Scrivo ad Anna → Le scrivo. = Le escribo a Ana. · Conosco i tuoi amici → Li conosco. = Conozco a tus amigos.",,,,
10,3,Sin leísmo y sin «a» personal,*le* singular es **siempre indirecto** femenino. Y el objeto directo de persona va **sin *a***: *vedo Marco*.,«Le vedo» por «lo veo» es error grave: *le vedo* solo significa «las veo». Y nunca «vedo a Marco».,,,,,
10,4,Dónde se coloca el pronombre,Delante del verbo conjugado (*ti chiamo*); **pegado** al infinitivo (*voglio chiamarti*). Con modales valen las dos: *ti voglio vedere* = *voglio vederti*.,,,,,,
11,1,La forma,"Presente de *avere* o *essere* + participio. Participios regulares: *-are → -ato*, *-ere → -uto*, *-ire → -ito*.",,Ieri ho mangiato la pizza. = Ayer comí pizza. · Ho venduto la macchina. = Vendí el auto. · Abbiamo dormito bene. = Dormimos bien.,ho parlato / abbiamo parlato / sono andato/a / siamo andati/e · hai parlato / avete parlato / sei andato/a / siete andati/e · ha parlato / hanno parlato / è andato/a / sono andati/e,,,
11,2,Cuál auxiliar,"*avere* con los verbos que pueden llevar objeto directo. *essere* con movimiento, permanencia, cambio de estado, reflexivos e impersonales, y la familia de *piacere*.","No todo movimiento va con *essere*: *camminare, viaggiare, nuotare* van con *avere*. Y *essere* usa *essere* (*sono stato*); *avere* usa *avere* (*ho avuto*).",Ho letto il libro. = Leí el libro. · Sono andato a Roma. = Fui a Roma. · Ti è piaciuto il film? = ¿Te gustó la película?,"movimiento / andare, venire, arrivare, partire, uscire, entrare, tornare, salire, scendere, cadere · permanencia / restare, rimanere, stare · cambio de estado / nascere, morire, diventare, crescere, guarire, dimagrire · existencia / essere, esserci · gustar y afines / piacere, mancare, sembrare, costare, servire, bastare, succedere · todos los reflexivos / alzarsi, lavarsi, divertirsi...",,,
11,3,"Con essere, el participio concuerda","Con *essere*, el participio **concuerda con el sujeto** en género y número: *-o, -a, -i, -e*.",,Marco è partito. / Anna è partita. = Marco se fue. / Ana se fue. · Siamo arrivati tardi. = Llegamos tarde. · Le ragazze sono uscite. = Las chicas salieron.,,,,
11,4,Verbos con los dos auxiliares,"Algunos aceptan los dos, con sentido distinto: **con objeto directo, *avere***; sin objeto, *essere*.",,Ho cambiato idea. / Sono cambiato molto. = Cambié de idea. / Cambié mucho (yo). · Ho finito il lavoro. / Il film è finito. = Terminé el trabajo. / La película terminó. · Ho passato tre giorni lì. / Sono passato da casa tua. = Pasé tres días ahí. / Pasé por tu casa. · Ho salito le scale. / Sono salito sul treno. = Subí las escaleras. / Me subí al tren.,,,,
11,5,Modales: manda el infinitivo,"Con *potere, volere, dovere*, el auxiliar lo elige el infinitivo que sigue: *ho dovuto studiare*, pero *sono dovuto andare*.",,Ho voluto vedere il film. = Quise ver la película. · Sono dovuta partire presto. = Tuve que irme temprano.,,,,
11,6,Participios irregulares imprescindibles,"Muchos verbos frecuentes, sobre todo en *-ere*, tienen participio irregular. Aprendelos de memoria junto con el infinitivo.",,,essere / stato / fare / fatto · prendere / preso / dire / detto · mettere / messo / scrivere / scritto · leggere / letto / vedere / visto · chiedere / chiesto / rispondere / risposto · aprire / aperto / offrire / offerto · venire / venuto / rimanere / rimasto · scegliere / scelto / vivere / vissuto · bere / bevuto / perdere / perso · chiudere / chiuso / decidere / deciso · nascere / nato / morire / morto · succedere / successo / correre / corso,,,
11,7,"già, mai, ancora: en el medio","Los adverbios cortos (*già, mai, ancora, sempre, appena*) van **entre** el auxiliar y el participio.",,Ho già mangiato. = Ya comí. · Non ho ancora finito. = Todavía no terminé. · Non ci sono mai stato. = Nunca estuve ahí. · Ha sempre lavorato qui. = Siempre trabajó acá. · Ho appena parlato con lui. = Recién hablé con él.,,,,
11,8,Pronombre directo: el participio concuerda,"Con *lo, la, li, le* delante, el participio **concuerda** aunque el auxiliar sea *avere*. Con *mi, ti, ci, vi*, es opcional.","*lo* y *la* se apostrofan ante *ho*: *l'ho visto*, *l'ho vista*. *li* y *le*, nunca: *li ho visti*.",Ho visto Anna → L'ho vista. = La vi. · Ho comprato i libri → Li ho comprati. = Los compré. · Ho letto le lettere → Le ho lette. = Las leí.,,,,
12,1,Los reflexivos,"Pronombre *mi, ti, si, ci, vi, si* delante del verbo. El infinitivo se cita con *-si* pegado: *alzarsi, lavarsi, chiamarsi*.",,Mi chiamo Luca. = Me llamo Luca. · A che ora ti svegli? = ¿A qué hora te despertás?,io / mi alzo / noi / ci alziamo · tu / ti alzi / voi / vi alzate · lui/lei / si alza / loro / si alzano,,,
12,2,Reflexivos que no coinciden,"Algunos son reflexivos en italiano y no en castellano, o llevan otra preposición. Aprendelos con su **di** o **con**.",,"ricordarsi di / dimenticarsi di = acordarse de / olvidarse de · accorgersi di = darse cuenta de · sbagliarsi, trasferirsi = equivocarse, mudarse · laurearsi = recibirse · sposarsi con qualcuno = casarse con alguien (no «sposare a»)",,,,
12,3,El imperativo informal,"Igual que el presente, salvo *tu* de los verbos en **-are**, que termina en *-a*: *tu parli* → *Parla!*",,Chiamami! = ¡Llamame! · Alzati! = ¡Levantate!,tu / parla! / prendi! / dormi! / finisci! · noi / parliamo! / prendiamo! / dormiamo! / finiamo! · voi / parlate! / prendete! / dormite! / finite!,,,
12,4,El negativo de tu,*tu* negativo = **non + infinitivo**. En *noi* y *voi* alcanza con anteponer *non*.,,Non parlare! = ¡No hables! · Non andare! = ¡No vayas! · Non ti preoccupare! = ¡No te preocupes! · Non parlate! = ¡No hablen!,,,,
12,5,Adelanto: el formal es un subjuntivo,"Para *Lei* se usa el congiuntivo presente (semana 24). Por ahora, **reconocelo**: el pronombre va **delante**, no pegado.",,Scusi! / Senta! = ¡Disculpe! / ¡Oiga! · Venga! / Prenda! = ¡Venga! / ¡Tome! · Mi dica! = ¡Dígame! · Si accomodi! = ¡Siéntese! · Faccia pure! = ¡Hágalo nomás!,,,,
12,6,Formas cortas: consonante doble,"*va', da', fa', sta', di'* + pronombre **duplican** la consonante del pronombre: *da'* + *mi* → *dammi*.","Única excepción: *gli* no se duplica. *Dagli il libro*, nunca «daggli».",Dammi la mano! = ¡Dame la mano! · Dimmi tutto. = Decime todo. · Fallo subito! = ¡Hacelo ya! · Vacci tu! = ¡Andá vos! · Stammi bene. = Cuidate.,,,,
13,1,"Artículos, de un vistazo",Mirá **género** y **primer sonido** de la palabra siguiente.,,,masc. sing. / il / l' / lo · masc. pl. / i / gli / gli · fem. sing. / la / l' / la · fem. pl. / le / le / le · indet. masc. / un / un / uno · indet. fem. / una / un' / una,,,
13,2,Presente: las terminaciones,*tu* en **-i** y *noi* en **-iamo** siempre. *-isc-* en todas menos *noi* y *voi*.,,,io / -o / -o / -o / -isco · tu / -i / -i / -i / -isci · lui / -a / -e / -e / -isce · noi / -iamo / -iamo / -iamo / -iamo · voi / -ate / -ete / -ite / -ite · loro / -ano / -ono / -ono / -iscono,,,
13,3,Irregulares: essere a fare,Los que más aparecen en el examen. **Sin diptongo** y con el acento de *loro* en la raíz.,,,io / sono / ho / vado / faccio / vengo · tu / sei / hai / vai / fai / vieni · lui/lei / è / ha / va / fa / viene · noi / siamo / abbiamo / andiamo / facciamo / veniamo · voi / siete / avete / andate / fate / venite · loro / sono / hanno / vanno / fanno / vengono,,,
13,4,"Irregulares: modales, dire, uscire","*potere, volere, dovere* + **infinitivo**. *dire* y *uscire* cambian la raíz: *dico*, *esco*.",,,io / posso / voglio / devo / dico / esco · tu / puoi / vuoi / devi / dici / esci · lui/lei / può / vuole / deve / dice / esce · noi / possiamo / vogliamo / dobbiamo / diciamo / usciamo · voi / potete / volete / dovete / dite / uscite · loro / possono / vogliono / devono / dicono / escono,,,
13,5,Pronombres,Átonos **delante** del verbo conjugado; tónicos **después** de preposición.,,,"mi, ti, lo, la / mi, ti, gli, le / mi, ti, si / me, te, lui, lei · ci, vi, li, le / ci, vi, gli / ci, vi, si / noi, voi, loro",,,
